id,nome,genero,idioma,cartao_credito,bandeira_cartao,limite,data_validade
40,Saundra Lampaert,Male,Irish Gaelic,5108756145708407,mastercard,5613,4/15/2027
41,Ardeen Castellucci,Female,Hindi,5108759165968620,mastercard,669,11/12/2027
42,Leontine Aldersley,Female,Lao,5048373045653338,mastercard,4038,3/3/2029
43,Noll Barnicott,Male,Filipino,5108755283363116,mastercard,8910,1/16/2024
44,Adora Ridgedell,Female,Hungarian,5108758596125628,mastercard,5109,7/5/2030
45,Tanner Skechley,Male,Guaraní,5108752570790705,mastercard,4434,12/17/2028
46,Shaine Bramstom,Male,Fijian,5108758581452680,mastercard,4001,1/28/2027
47,Lucho Berzin,Male,Albanian,5108759198466360,mastercard,6315,10/3/2029
48,Cynthie Garvagh,Female,Fijian,5108758586546007,mastercard,8427,2/5/2027
49,Gabrielle Gogarty,Female,Amharic,5108753963840248,mastercard,2194,5/29/2028
50,Garland Cassie,Female,Macedonian,5048376971034605,mastercard,5198,8/17/2028
51,Rorke Brunton,Male,Quechua,5108753943181929,mastercard,4375,10/25/2025
52,Kania Goldston,Female,Tamil,5048373740539345,mastercard,4112,1/25/2027
53,Olag Huxley,Male,Pashto,5048375707154869,mastercard,227,7/18/2030
54,Earl Pichan,Male,West Frisian,5108757204915289,mastercard,8717,5/9/2024
55,Amye Offen,Female,Swahili,5048374682909454,mastercard,9722,3/13/2027
56,Trev Cosgriff,Male,Georgian,5048378934564975,mastercard,302,7/9/2027
57,Frances Jockle,Female,English,5048379780285780,mastercard,7148,11/13/2027
58,Tracy Durram,Male,Assamese,5108757646389358,mastercard,9300,8/3/2028
59,Wallache Rojel,Male,Chinese,5108755958425976,mastercard,5853,7/29/2029
60,Marrilee Banane,Female,Swedish,5048379957661284,mastercard,8026,9/16/2024
61,Jon Precious,Male,Moldovan,5048377091613310,mastercard,3828,4/5/2025
62,Marlow Carey,Male,Greek,5108752770076525,mastercard,1868,7/1/2029
63,Allistir Glanz,Male,Chinese,5048374570544595,mastercard,3614,7/19/2029
64,Quinta Oldfield-Cherry,Female,Catalan,5048375743976408,mastercard,1569,4/15/2030
65,Brady Jennison,Male,Swedish,5048375912343919,mastercard,4930,9/12/2027
66,Luce Itzkovwich,Male,Arabic,5108750695379891,mastercard,5373,4/15/2025
67,Nicolis Dillimore,Male,New Zealand Sign Language,5048375550467731,mastercard,3403,8/4/2026
68,Alejandra Mion,Female,Dari,5108750096940200,mastercard,5195,4/5/2030
69,Charla Hailey,Female,Tsonga,5108750008958100,mastercard,6659,2/7/2025
70,Dave Wagner,Male,Swati,5108751432014098,mastercard,1536,4/16/2028
71,Kiersten Doel,Female,Georgian,5108753357089147,mastercard,1535,10/21/2024
72,Nesta McLardie,Female,Japanese,5108751415911013,mastercard,3175,10/14/2026
73,Iago Yerby,Male,Māori,5048370126269661,mastercard,255,4/7/2028
74,Raddy Kinnier,Non-binary,Kurdish,5108752507320873,mastercard,5879,12/4/2030
75,Ethelda Turbard,Agender,English,5108753940556685,mastercard,6349,5/19/2027
76,Brigida Jorge,Female,Catalan,5108755334784310,mastercard,5171,10/12/2030
77,Kristine Kynett,Female,Pashto,5048375089380488,mastercard,1161,2/18/2025
78,Jasper Pezey,Male,Khmer,5048379400906039,mastercard,9527,1/15/2028
79,Grantley Dudney,Male,Mongolian,5048379115418445,mastercard,4481,5/29/2029
80,Philipa Garford,Female,Hebrew,5048379024560790,mastercard,5299,10/3/2030
81,Lind Bowick,Female,Kyrgyz,5048378923167087,mastercard,7273,1/4/2027
82,Julian McNutt,Male,Bislama,5048371937557773,mastercard,2595,5/15/2026
83,Guglielma Abby,Genderfluid,Sotho,5048373444041861,mastercard,9715,5/3/2027
84,Janean Levey,Female,Lithuanian,5108751425466529,mastercard,8958,9/23/2029
85,Zara Peschke,Female,Kyrgyz,5048376209613337,mastercard,4344,7/1/2026
86,Ellery Bloxham,Male,Kashmiri,5108752292659725,mastercard,5613,8/2/2029
87,Siusan Lillee,Female,Pashto,5108753486999786,mastercard,6364,3/2/2025
88,Laryssa Crowcroft,Female,Hiri Motu,5048376843359966,mastercard,8668,12/2/2027
89,Nil Caldecott,Male,French,5048378370546197,mastercard,1985,10/4/2025
90,Jesse Grummitt,Female,Sotho,5048378182116395,mastercard,1995,10/7/2024
91,Coral Rutt,Female,Moldovan,5108756123311158,mastercard,9654,2/25/2026
92,Andre Breakwell,Male,Armenian,5108751685657544,mastercard,8825,3/12/2028
93,Lindie Lancaster,Female,Armenian,5108756101216999,mastercard,2850,9/2/2027
94,Oran Eastby,Male,Malayalam,5108752522347638,mastercard,223,3/31/2029
95,Guenna Oldfield,Female,Chinese,5048372163839083,mastercard,5316,3/28/2025
96,Celie Matieu,Female,Dhivehi,5048377495288461,mastercard,3471,5/26/2025
97,Doll Ferrers,Female,Burmese,5048376538252773,mastercard,9621,5/11/2028
98,Frank Ayliffe,Female,Somali,5048374985462904,mastercard,8121,10/10/2029
99,Jock Haldin,Male,Danish,5108755679662881,mastercard,6829,3/28/2025
100,Ethelyn Oda,Female,Arabic,5108758890505038,mastercard,4393,2/4/2026
101,Glenna Kinmond,Female,Haitian Creole,5048377618153303,mastercard,2990,12/26/2023
102,Mellisa Rocks,Female,Macedonian,5048373783325974,mastercard,3171,11/15/2028
103,Gard Flay,Male,Estonian,5108755203610208,mastercard,4289,7/13/2028
104,Edeline Tewelson,Female,Amharic,5048374118296245,mastercard,2374,7/29/2027
105,Isidor Ramalhete,Male,Bosnian,5048377257650544,mastercard,2580,11/6/2029
106,Karoly Skrzynski,Agender,Tok Pisin,5108755374119385,mastercard,2483,8/19/2029
107,Neil McNeely,Male,Albanian,5048375661884204,mastercard,6698,12/24/2029
108,Olivia Lammie,Genderfluid,Macedonian,5108758519270618,mastercard,7301,12/26/2029
109,Kimbell Mannakee,Male,Kannada,5048375557814265,mastercard,5495,9/27/2025
110,Aggy Ewan,Bigender,Bosnian,5048370518131446,mastercard,621,3/5/2030
111,Brier Manger,Female,Northern Sotho,5048373927828388,mastercard,4486,8/14/2025
112,Juliane Landman,Female,Bulgarian,5048373262022977,mastercard,2657,8/10/2030
113,Prescott Plowman,Male,Spanish,5048375560176140,mastercard,9150,10/17/2028
114,Shaw Simnel,Male,Swedish,5108753551359031,mastercard,6778,3/23/2029
115,Scotti O' Driscoll,Male,German,5108754954036028,mastercard,5825,7/18/2026
116,Dierdre Aviss,Female,Luxembourgish,5108759684348585,mastercard,2700,6/28/2027
117,Stefa Bignell,Female,Māori,5048373903829772,mastercard,404,7/30/2029
118,Kizzee Orgee,Female,Yiddish,5108750411579683,mastercard,4872,2/17/2024
119,Bonita Sagg,Female,Pashto,5048377745347190,mastercard,3400,10/21/2024
120,Vidovic Hatchell,Genderfluid,Tamil,5048371328388846,mastercard,6962,11/7/2023
121,Kevan Ellicombe,Male,Khmer,5048377767059913,mastercard,1604,1/17/2030
122,Sheeree Kemsley,Female,Kashmiri,5048372571445630,mastercard,6634,3/5/2024
123,Opalina Le Brun,Female,Malagasy,5108754480479981,mastercard,3754,12/19/2026
124,Addy Chazelas,Female,Norwegian,5048376695503075,mastercard,6293,1/12/2030
125,Will Greser,Male,Tajik,5048378848486521,mastercard,1862,8/13/2024
126,Inez Ebbin,Female,Quechua,5108759669845712,mastercard,135,8/15/2024
127,Cirstoforo Vasyukhin,Male,Gujarati,5048378844508013,mastercard,5912,6/16/2028
128,Fionna Thomsen,Female,Polish,5108754345591285,mastercard,9606,5/10/2027
129,Cleveland Marritt,Male,Quechua,5048376615262919,mastercard,3331,9/16/2029
130,Morey Bagworth,Male,Macedonian,5108757769366878,mastercard,8172,12/31/2023
131,Flss Currey,Female,Latvian,5048379345579131,mastercard,8040,12/10/2025
132,Laney Sandle,Male,Sotho,5048377333242522,mastercard,2788,10/10/2024
133,Pru McConnulty,Female,Hebrew,5048375102071346,mastercard,6815,2/24/2027
134,Kati Rao,Female,Georgian,5108751538632942,mastercard,6791,5/11/2027
135,Hans Brisard,Male,Dhivehi,5108750550639843,mastercard,8105,5/14/2029
136,Melony Mushett,Non-binary,Finnish,5108755743818519,mastercard,454,6/17/2027
137,Kris McKerrow,Genderfluid,Italian,5108758780602408,mastercard,5304,4/27/2027
138,Davie Kempstone,Male,English,5108752741422535,mastercard,4370,6/26/2028
139,Danit Powles,Female,Tok Pisin,5048372408407548,mastercard,7149,12/16/2027
140,Zacharie Jermyn,Male,Icelandic,5108751078490446,mastercard,371,9/30/2024
141,Candis Doeg,Female,Yiddish,5108757332702385,mastercard,5321,7/21/2027
142,Lilly Skirling,Female,Dari,5108756509663438,mastercard,1407,4/28/2029
143,Jessi Kidner,Female,Malayalam,5108755945680774,mastercard,2688,4/11/2027
144,Giff Villalta,Male,Norwegian,5048377169061418,mastercard,8251,11/29/2030
145,Norine Burkart,Female,Burmese,5108759678347031,mastercard,8419,7/2/2029
146,North Mullally,Male,Malayalam,5048378128461731,mastercard,1229,12/1/2028
147,Humfrid Chatelet,Bigender,Danish,5048379998375431,mastercard,1144,3/19/2030
148,Armando Mattke,Genderqueer,Nepali,5048377759383180,mastercard,3205,7/5/2026
149,Florencia Kellie,Female,Guaraní,5108757757913681,mastercard,2072,2/22/2026
150,Kinsley Grishukov,Male,English,5048373588268296,mastercard,1761,2/16/2025
151,Sim Hext,Male,Punjabi,5108755589612232,mastercard,1649,7/18/2028
152,Abe Van Arsdall,Male,Papiamento,5108758914534832,mastercard,2897,7/12/2024
153,Manuel Tieraney,Polygender,Kashmiri,5048373081648721,mastercard,5291,5/25/2026
154,Van Quan,Male,Somali,5108759580464668,mastercard,4762,4/23/2028
155,Norbert Spinozzi,Male,Dutch,5048372425283203,mastercard,5341,8/7/2025
156,Adriane Drexel,Female,Czech,5108757305610987,mastercard,9994,6/26/2028
157,Mayor Valerio,Male,Kannada,5108754617302031,mastercard,6610,4/10/2029
158,Shari Havesides,Female,Malagasy,5108756058157071,mastercard,7610,10/16/2028
159,Miller Batchelar,Male,Punjabi,5048375065376880,mastercard,5933,9/15/2026
160,Maurene Ingilson,Female,Norwegian,5108756269431562,mastercard,4646,10/10/2030
161,Terrijo Treffry,Female,Tamil,5108755422105535,mastercard,1914,11/18/2025
162,Brett O'Codihie,Male,Montenegrin,5108754061781250,mastercard,492,1/19/2025
163,Kayla Lockley,Female,Burmese,5108751416491098,mastercard,7676,8/3/2025
164,Myca Stilgo,Male,Swati,5108755561198507,mastercard,8035,7/31/2028
165,Elisa Patching,Bigender,Tamil,5108758403190476,mastercard,6709,10/1/2026
166,Celestina Fairfoul,Female,Polish,5108750244031951,mastercard,637,9/28/2029
167,Rorke Bellchamber,Male,Montenegrin,5108750407748177,mastercard,3786,6/10/2028
168,Baxie Gowar,Male,Assamese,5108757362744901,mastercard,9348,6/25/2024
169,Jamil Ovey,Male,Azeri,5048371223353036,mastercard,5968,5/31/2030
170,Therese O'Shea,Female,Malay,5048371788366092,mastercard,1433,6/11/2029
171,William Cadreman,Male,Latvian,5048370153627930,mastercard,1665,3/18/2028
172,Martita Netherclift,Female,Finnish,5108759998761549,mastercard,8956,8/29/2027
173,Sherilyn Baytrop,Female,Ndebele,5108754562090144,mastercard,2252,11/1/2030
174,Morganica Hoodspeth,Female,Kurdish,5108750178948071,mastercard,6090,10/28/2025
175,Far Friedlos,Male,New Zealand Sign Language,5048375538746321,mastercard,929,2/23/2029
176,Egon Mannagh,Male,Haitian Creole,5108759865417720,mastercard,4749,11/17/2024
177,Hershel Pottell,Male,Norwegian,5108758320754982,mastercard,1760,9/10/2026
178,Slade Gurr,Male,Haitian Creole,5048370876667049,mastercard,6622,12/7/2030
179,Oswald Poles,Male,Dari,5048370556161081,mastercard,619,3/7/2028
180,Auroora Arrow,Female,Norwegian,5048376084795050,mastercard,805,11/13/2030
181,Basilius Trippitt,Male,Marathi,5108755016698028,mastercard,4825,3/2/2027
182,Arte Jurgenson,Male,Kyrgyz,5048375288890071,mastercard,7342,10/19/2023
183,Webb Thonason,Male,Kazakh,5108751397851906,mastercard,957,8/6/2027
184,Stearn Neville,Male,West Frisian,5048370275976991,mastercard,1445,11/1/2027
185,Elena Arias,Genderfluid,Swedish,5048378148685905,mastercard,8728,12/11/2026
186,Patrizio Barti,Male,Marathi,5108751040178723,mastercard,792,12/6/2023
187,Skipton Greenhow,Male,Oriya,5108754363500002,mastercard,1387,5/30/2029
188,Giustino Hawk,Male,Danish,5108758463695877,mastercard,8108,8/26/2029
189,Sheri Claw,Female,Malay,5108758639681058,mastercard,5050,2/17/2028
190,Godard Wooles,Male,Greek,5108757570448758,mastercard,4216,9/24/2029
191,Trudy Kindell,Genderqueer,Belarusian,5048372782974451,mastercard,9196,10/6/2025
192,Meghan Le Marquis,Bigender,Macedonian,5108752263984797,mastercard,515,10/20/2030
193,Melisa Hablot,Female,Montenegrin,5048375597155463,mastercard,3703,12/3/2027
194,Elias Franzewitch,Male,Dutch,5048378429953329,mastercard,9248,9/27/2030
195,Hermy Orpwood,Male,Aymara,5108754420367106,mastercard,7355,4/16/2028
196,Brandyn Chung,Male,English,5108758220656642,mastercard,871,1/13/2030
197,Hammad Kiezler,Male,New Zealand Sign Language,5108751257024370,mastercard,8254,6/21/2027
198,Horten Pass,Male,Mongolian,5048372919485710,mastercard,3915,2/16/2029
199,Sharline Craster,Female,Luxembourgish,5108759466097590,mastercard,7489,1/7/2024
200,Germana Bains,Female,French,5108752409683048,mastercard,5018,8/18/2030
201,Sephira Griswood,Bigender,Assamese,5048370197614449,mastercard,4407,6/4/2026
202,Khalil Daingerfield,Male,Maltese,5048377284302382,mastercard,5729,1/31/2030
203,Loren Welsby,Female,Dhivehi,5108759712358762,mastercard,5199,5/27/2027
204,Susi Brookes,Female,Gagauz,5108752212131060,mastercard,9859,5/6/2030
205,Ashby New,Male,Lao,5108752356364238,mastercard,113,7/1/2029
206,Calli MacIntosh,Female,Burmese,5048372599822869,mastercard,2903,2/24/2030
207,Judon Mickelwright,Male,Filipino,5108759885999350,mastercard,1195,3/16/2024
208,Salvador Witherbed,Male,Italian,5108751473078994,mastercard,7247,4/4/2028
209,Emmerich Sandwick,Male,Kazakh,5108753284579178,mastercard,7079,1/10/2030
210,Hedvig Donnel,Female,Māori,5048372100068259,mastercard,7705,9/30/2028
211,Leodora Ketts,Female,Gujarati,5108752301944274,mastercard,8093,1/10/2029
212,Victor Etridge,Male,Norwegian,5048370053350724,mastercard,9925,8/15/2028
213,Salomi Sessions,Female,German,5048379883479322,mastercard,3492,2/5/2029
214,Vaughan Chat,Male,Swati,5108755111843461,mastercard,9245,12/14/2027
215,Dennis Spinozzi,Male,Bengali,5108756559102733,mastercard,7941,9/29/2026
216,Merralee Kidde,Female,Italian,5048375746219079,mastercard,3201,9/14/2026
217,Xenia Earwaker,Genderqueer,Arabic,5108753812796823,mastercard,3919,5/24/2025
218,Damien Gathercole,Male,Tajik,5108754946531664,mastercard,603,10/22/2027
219,Hymie Wishkar,Male,Danish,5108751619127796,mastercard,5406,1/13/2030
220,Laraine Corneliussen,Female,Persian,5048370661002642,mastercard,7478,1/26/2029
221,Matias Stopforth,Non-binary,Norwegian,5108755110045977,mastercard,4686,7/28/2028
222,Lindsy Emeline,Female,Bengali,5108758652831069,mastercard,8998,5/25/2030
223,Floyd Pischof,Male,Tamil,5048370378616718,mastercard,3012,1/5/2025
224,Patrice Bradmore,Male,Oriya,5108755354814476,mastercard,9210,3/29/2028
225,Launce Petrov,Male,Hungarian,5048375963623359,mastercard,2027,3/28/2030
226,Cathryn Grodden,Female,Catalan,5108758394076437,mastercard,2412,9/24/2024
227,Hobey Wankling,Male,Marathi,5048377206263308,mastercard,6689,5/24/2026
228,Friedrick Eick,Male,Macedonian,5048375307097963,mastercard,2695,8/20/2026
229,Silvanus Baldassi,Male,Pashto,5108751259814380,mastercard,7142,6/3/2028
230,Matthus Harbour,Male,Tajik,5108751823889256,mastercard,278,4/4/2028
231,Vern Lacotte,Male,Finnish,5108757945994130,mastercard,5956,3/27/2026
232,Olwen O'Carran,Female,Tswana,5048372323709614,mastercard,8914,11/17/2029
233,Thebault Valentinetti,Male,Bosnian,5108758840148988,mastercard,4921,3/1/2024
234,Corrianne Blowin,Female,Polish,5048374179354610,mastercard,2889,3/9/2025
235,Franciska Jiruca,Female,Italian,5108759517628336,mastercard,7484,1/17/2030
236,Phylis Domke,Female,Portuguese,5108754674828241,mastercard,7410,8/19/2029
237,Jojo Glewe,Female,Swahili,5048374980704177,mastercard,6188,12/20/2026
238,Maximilian Ashcroft,Bigender,Czech,5108751165043751,mastercard,4368,4/14/2026
239,Ollie Boole,Female,Czech,5108756027982161,mastercard,7230,11/1/2024
240,Herve Holdworth,Male,Persian,5048375292373379,mastercard,9542,10/9/2030
241,Abagael Oldknow,Non-binary,Filipino,5048370504715343,mastercard,6084,6/20/2029
242,Cosimo Eixenberger,Male,Bislama,5048374646879694,mastercard,3655,11/7/2027
243,Grange Eager,Male,Catalan,5108752862739121,mastercard,8888,12/12/2026
244,Alyson Salway,Female,Finnish,5108751768473173,mastercard,6795,9/19/2027
245,Yoshiko Bellamy,Agender,Zulu,5048378395170759,mastercard,3039,11/29/2026
246,Daffie O'Breen,Female,Filipino,5108755288903437,mastercard,8870,10/15/2026
247,Nollie Kelsey,Male,Sotho,5048378446686969,mastercard,4724,12/7/2030
248,Claiborn Landon,Agender,Norwegian,5108755580458007,mastercard,4959,8/23/2025
249,Viole Kembery,Female,Estonian,5108756694770980,mastercard,2553,7/31/2025
250,Zondra McBrearty,Female,Malagasy,5108754561825524,mastercard,7027,8/28/2029
251,Gwenette Vanns,Female,Tajik,5048377403435683,mastercard,761,4/16/2024
252,Galina Lidgley,Female,Dari,5048378545335559,mastercard,7837,7/8/2026
253,Ileana Osgarby,Female,Icelandic,5048375885285873,mastercard,2643,3/10/2029
254,Kennie Chastaing,Male,Malagasy,5108752059640702,mastercard,1758,12/22/2025
255,Adelaide Chidlow,Female,Filipino,5108758273762271,mastercard,2013,8/29/2025
256,Misti Bernhart,Female,Dzongkha,5108758397278741,mastercard,652,5/16/2028
257,Aurora McIlvaney,Female,Oriya,5108755381207389,mastercard,5767,9/13/2026
258,Maryl Shah,Agender,Catalan,5048372699062028,mastercard,4944,2/20/2027
259,Luella Linzey,Female,Czech,5108750887762367,mastercard,6212,11/13/2027
260,Tabby Lehemann,Female,German,5108756063287905,mastercard,2574,9/3/2024
261,Laurice Knappe,Female,Aymara,5108751175510500,mastercard,8995,2/22/2025
262,Eden Ventura,Genderfluid,Northern Sotho,5108758004262518,mastercard,3729,11/16/2026
263,Kennan Warrick,Male,Bulgarian,5108757811172183,mastercard,9643,1/23/2027
264,Jodi Gosse,Male,Bengali,5108752930349598,mastercard,3454,5/10/2028
265,Tomaso Veque,Male,Czech,5108756177398242,mastercard,4195,1/31/2025
266,Adolph Swayne,Male,Belarusian,5048373300486754,mastercard,3160,8/10/2024
267,Mureil Kells,Female,Pashto,5108757251644840,mastercard,921,9/30/2030
268,Celka Dineges,Female,Somali,5108759740699617,mastercard,3244,8/13/2025
269,Leonhard Burnes,Male,Tsonga,5048376134313813,mastercard,6740,10/12/2026
270,Odella Keasey,Female,Northern Sotho,5048374551994843,mastercard,7401,12/8/2025
271,Hubie Potteril,Male,Assamese,5108758143462250,mastercard,2620,10/24/2029
272,Gabbie Aitcheson,Female,Malagasy,5108752702592755,mastercard,798,8/26/2025
273,Othello Jennings,Male,Gujarati,5108753501522647,mastercard,2630,12/15/2023
274,Boigie Veregan,Non-binary,Haitian Creole,5048371503867143,mastercard,4368,3/5/2030
275,Dalenna Peet,Female,Malagasy,5108754345667325,mastercard,5209,8/14/2028
276,Cozmo Minihan,Male,Telugu,5108756196992637,mastercard,3253,11/8/2025
277,Nikkie Mowsdale,Female,Mongolian,5048377767569861,mastercard,1902,6/17/2029
278,Janeen Iacobini,Female,French,5108754274263203,mastercard,6685,9/23/2030
279,Gabrielle Lippitt,Female,Tetum,5048376826076702,mastercard,6224,8/10/2028
280,Emilio Whartonby,Male,Tok Pisin,5048374356517633,mastercard,2588,12/19/2024
281,Aundrea Elger,Female,Amharic,5048371749741706,mastercard,4566,11/24/2025
282,Harold Kelston,Male,Swedish,5108753238850840,mastercard,2906,10/13/2029
283,Dave Dunning,Male,Greek,5108751755540737,mastercard,1424,6/29/2024
284,Michael Boatwright,Male,Bosnian,5108752711342994,mastercard,1690,12/23/2027
285,Winnifred Jurczik,Female,New Zealand Sign Language,5108752762832703,mastercard,7429,10/18/2028
286,Salvador Pidgin,Male,Malay,5048373581063199,mastercard,9679,12/29/2028
287,Pascal Lubeck,Male,Korean,5108759999019152,mastercard,8004,9/24/2030
288,Randal Orviss,Male,Kurdish,5048374643363593,mastercard,2005,2/27/2028
289,Pepito Freemantle,Male,Armenian,5048372623920721,mastercard,7815,1/1/2027
290,Jerrie Proger,Male,Hindi,5108757271663713,mastercard,8638,9/16/2027
291,Hailee Bosenworth,Female,Japanese,5108758895423450,mastercard,2557,1/10/2027
292,Sallie Morgan,Female,Punjabi,5108759636626005,mastercard,3930,1/13/2030
293,Tyler Beggan,Male,Dhivehi,5048370886878040,mastercard,1088,9/13/2030
294,Lila Ebanks,Female,Lithuanian,5048376502310326,mastercard,8755,2/10/2030
295,Sybyl Burle,Female,Latvian,5048378425399576,mastercard,8661,2/22/2027
296,Laverna Pardi,Female,Thai,5048373808431534,mastercard,3114,7/1/2026
297,Stoddard McCane,Female,Japanese,5048378477582335,mastercard,889,3/29/2028
298,Agatha Aveling,Female,Dhivehi,5108754391406685,mastercard,3472,9/10/2026
299,Roth Martynov,Male,Moldovan,5048377281961768,mastercard,2342,7/14/2030
300,Albrecht Brace,Male,Māori,5048379354839442,mastercard,1071,10/22/2023
301,Bond Scholl,Male,Telugu,5108750944468073,mastercard,390,11/23/2023
302,Eleanore Wallington,Genderqueer,Nepali,5108758031858031,mastercard,7409,11/7/2023
303,Chickie Stait,Genderqueer,Malayalam,5108751699242747,mastercard,6814,2/26/2028
304,Nicola Abramin,Agender,Tamil,5108753816703874,mastercard,982,12/27/2023
305,Adrien Bonas,Male,Pashto,5108756653148194,mastercard,1961,7/2/2026
306,Birgitta Linsey,Female,Hindi,5108753287566115,mastercard,3355,7/4/2025
307,Sherm Aglione,Male,Kyrgyz,5108758648101007,mastercard,5066,9/22/2026
308,Norman Morrish,Male,Icelandic,5108757313258910,mastercard,4979,1/7/2026
309,Base McGinley,Male,Greek,5108758009079396,mastercard,2877,8/12/2025
310,Edgar Como,Male,Azeri,5048374914988011,mastercard,9953,10/13/2028
311,Letizia Ortler,Female,Chinese,5048373863055525,mastercard,7507,12/19/2023
312,Ulrick Barthropp,Male,Afrikaans,5108756509470008,mastercard,6760,3/22/2027
313,Agneta Veitch,Female,Chinese,5048374959823784,mastercard,2837,5/25/2027
314,Padraig Robberts,Male,Dutch,5048371640727705,mastercard,3958,2/16/2028
315,Renaldo Cardiff,Male,Japanese,5048379636519507,mastercard,6542,7/22/2026
316,Mortie Summerill,Male,Latvian,5048371186762140,mastercard,7268,11/5/2028
317,Robina Mudd,Female,Malagasy,5108757327994419,mastercard,1987,12/14/2028
318,Myranda Templeton,Female,Afrikaans,5048376135961735,mastercard,1255,8/12/2026
319,Fanchette MacIver,Female,Moldovan,5048372626728428,mastercard,9085,10/11/2023
320,Flinn Perry,Male,Catalan,5108750350186672,mastercard,8056,1/28/2028
321,Camel Rafe,Female,Filipino,5108757266801146,mastercard,5402,6/23/2025
322,Tammie Blissett,Male,Telugu,5108754029485309,mastercard,7981,10/13/2029
323,Thor Rodmell,Male,Māori,5108750736758145,mastercard,3029,6/5/2030
324,Maximilien Halliberton,Male,Finnish,5108759680296911,mastercard,9172,7/27/2028
325,Falkner Goering,Male,Northern Sotho,5108756054241218,mastercard,8042,11/24/2029
326,Job Jude,Male,West Frisian,5048375791494957,mastercard,6222,4/27/2024
327,Marc Coyish,Male,Maltese,5108752409570245,mastercard,4857,3/5/2027
328,Juliana Skitterel,Female,Swati,5108759598085075,mastercard,546,4/25/2024
329,Broderic Aspin,Male,Gagauz,5048372130517499,mastercard,3696,7/31/2027
330,Grayce Blount,Female,Marathi,5048374161638137,mastercard,4578,6/16/2030
331,Sonia Godier,Female,Swahili,5108759323202946,mastercard,6633,6/28/2025
332,Elayne Raye,Female,Malagasy,5048372755628670,mastercard,6314,10/15/2028
333,Davida Heitz,Female,Greek,5048378687561038,mastercard,5369,3/29/2025
334,Clay Sebright,Male,Italian,5108758832562998,mastercard,1166,11/15/2029
